"289","Chittoor",,"8572","13.217176","79.1003289","310.4804688","153766","Chittoor","AP"
"290","Hazaribagh",,"6546","23.9966213","85.3691068","619.3872681","153599","Hazaribag","JH"
"291","Jorhat",,"376","26.7465203","94.2025859","93","153249","Jorhat","AS"
"292","Hindupur",,"8556","13.829069","77.491835","628.6644287","151835","Anantapur","AP"
"293","Porbandar","Porbander","286","21.6417069","69.6292654","7.072003841","151770","Porbandar","GJ"
"294","Batala",,"1871","31.8183238","75.2070644","246.046875","151400","Gurdaspur","PB"
"295","Beawar",,"1462","26.1007337","74.3190747","453.1542664","151152","Beawar","RJ"
"296","Bhadravati",,"8282","13.8329901","75.7080727","595.1594238","151102","Shimoga","KA"
"297","Hanumangarh",,"1552","29.614436","74.2858121","182.2304382","150958","Hanumangarh","RJ"
"298","Satara",,"2162","17.6804639","74.018261","689.3317261","149335","Satara","MH"
"299","Chhatarpur",,"7682","24.9163562","79.5811827","306.4653931","147688","Chhatarpur","MP"
"300","Hajipur",,"6224","25.692562","85.208369","55.33710098","147688","Vaishali","BR"
"301","Damoh",,"7812","23.8380986","79.4421731","378.1002808","147515","Damoh","MP"
"302","Sasaram","Sahsaram","6184","24.949036","84.0314295","108.2407227","147396","Rohtas","BR"
